student_id,test_type,test_date,test_subscore,test_subscore_type,is_test_subscore_numeric,entry_mode,entry_date,test_subscore_numeric,max_test_subscore_rank,min_entry_date_rank,test_subscore_highest,test_subscore_percentile
523860,GRE2011,2015-01-07,163,VERB2011,Y,ELEC,2015-01-16,163.0,1,1,163.0,92
523932,GRE2011,2015-03-28,3.5,ANALYTWRIT,Y,ELEC,2015-04-09,3.5,1,1,3.5,38
523932,GRE2011,2015-03-28,146,QUAN2011,Y,ELEC,2015-04-09,146.0,1,1,146.0,25
523932,GRE2011,2015-03-28,148,VERB2011,Y,ELEC,2015-04-09,148.0,1,1,148.0,36
523978,GRE2011,2018-03-23,2.0,ANALYTWRIT,Y,ELEC,2019-08-01,2.0,1,1,2.0,2
523978,GRE2011,2018-03-23,144,QUAN2011,Y,ELEC,2019-08-01,144.0,1,1,144.0,17
523978,GRE2011,2018-03-23,147,VERB2011,Y,ELEC,2019-08-01,147.0,1,1,147.0,34
524016,GRE2011,2018-07-21,5.5,ANALYTWRIT,Y,ELEC,2018-08-02,5.5,1,1,5.5,98
524016,GRE2011,2018-07-21,163,QUAN2011,Y,ELEC,2018-08-02,163.0,1,1,163.0,83
524016,GRE2011,2018-07-21,166,VERB2011,Y,ELEC,2018-08-02,166.0,1,1,166.0,97
524115,GRE2011,2017-06-20,3.5,ANALYTWRIT,Y,ELEC,2017-06-30,3.5,1,2,3.5,42
524115,GRE2011,2017-06-20,149,QUAN2011,Y,ELEC,2017-06-30,149.0,1,2,149.0,35
524115,GRE2011,2017-06-20,151,VERB2011,Y,ELEC,2017-06-30,151.0,1,2,151.0,51
524122,GRE2011,2015-07-28,4.5,ANALYTWRIT,Y,ELEC,2015-08-10,4.5,1,1,4.5,80
524122,GRE2011,2015-07-28,156,QUAN2011,Y,ELEC,2015-08-10,156.0,1,1,156.0,64
524122,GRE2011,2015-07-28,156,VERB2011,Y,ELEC,2015-08-10,156.0,1,1,156.0,71
524188,GRE2011,2016-07-12,4.0,ANALYTWRIT,Y,ELEC,2016-07-28,4.0,1,1,4.0,59
524188,GRE2011,2016-07-12,159,QUAN2011,Y,ELEC,2016-07-28,159.0,1,1,159.0,73
524188,GRE2011,2016-07-12,164,VERB2011,Y,ELEC,2016-07-28,164.0,1,1,164.0,94
524233,GRE2011,2018-03-23,4.0,ANALYTWRIT,Y,ELEC,2018-04-11,4.0,1,1,4.0,60
524233,GRE2011,2018-03-23,151,QUAN2011,Y,ELEC,2018-04-11,151.0,1,1,151.0,43
524233,GRE2011,2018-03-23,156,VERB2011,Y,ELEC,2018-04-11,156.0,1,1,156.0,73
524250,GRE2011,2018-03-22,4.5,ANALYTWRIT,Y,ELEC,2018-04-11,4.5,1,1,4.5,82
524250,GRE2011,2018-03-22,146,QUAN2011,Y,ELEC,2018-04-11,146.0,1,1,146.0,24
524250,GRE2011,2018-03-22,151,VERB2011,Y,ELEC,2018-04-11,151.0,1,1,151.0,52
524265,GRE2011,2019-04-01,4.0,ANALYTWRIT,Y,ELEC,2019-04-15,4.0,1,1,4.0,59
524265,GRE2011,2019-04-01,154,QUAN2011,Y,ELEC,2019-04-15,154.0,1,1,154.0,54
524265,GRE2011,2019-04-01,163,VERB2011,Y,ELEC,2019-04-15,163.0,1,1,163.0,93
524283,GRE2011,2017-02-13,4.0,ANALYTWRIT,Y,ELEC,2017-02-26,4.0,1,2,4.0,59
524283,GRE2011,2015-02-07,4.5,ANALYTWRIT,Y,,2015-12-17,4.5,1,1,4.5,80
524283,GRE2011,2015-02-07,153,QUAN2011,Y,,2015-12-17,153.0,1,1,153.0,52
524283,GRE2011,2017-02-13,151,QUAN2011,Y,ELEC,2017-02-26,151.0,1,2,151.0,43
524283,GRE2011,2017-02-13,153,VERB2011,Y,ELEC,2017-02-26,153.0,1,2,153.0,60
524283,GRE2011,2015-02-07,159,VERB2011,Y,,2015-12-17,159.0,1,1,159.0,81
524297,GRE2011,2016-06-08,2.5,ANALYTWRIT,Y,PAPR,2016-06-13,2.5,1,2,2.5,7
524297,GRE2011,2016-06-08,138,QUAN2011,Y,PAPR,2016-06-13,138.0,1,2,138.0,4
524297,GRE2011,2016-06-08,145,VERB2011,Y,PAPR,2016-06-13,145.0,1,2,145.0,25
524324,GRE2011,2019-05-30,3.5,ANALYTWRIT,Y,ELEC,2019-07-15,3.5,1,3,3.5,39
524324,GRE2011,2019-05-30,149,QUAN2011,Y,ELEC,2019-07-15,149.0,1,3,149.0,34
524324,GRE2011,2019-05-30,148,VERB2011,Y,ELEC,2019-07-15,148.0,1,3,148.0,37
524340,GRE2011,2017-02-25,4.5,ANALYTWRIT,Y,ELEC,2017-03-10,4.5,1,1,4.5,82
524340,GRE2011,2017-02-25,144,QUAN2011,Y,ELEC,2017-03-10,144.0,1,1,144.0,17
524340,GRE2011,2017-02-25,152,VERB2011,Y,ELEC,2017-03-10,152.0,1,1,152.0,55
524429,GRE2011,2015-01-03,4.5,ANALYTWRIT,Y,ELEC,2015-12-04,4.5,1,1,4.5,80
524429,GRE2011,2015-01-03,140,QUAN2011,Y,ELEC,2015-12-04,140.0,1,1,140.0,8
524429,GRE2011,2015-01-03,147,VERB2011,Y,ELEC,2015-12-04,147.0,1,1,147.0,33
524443,GRE2011,2016-06-11,4.0,ANALYTWRIT,Y,ELEC,2016-06-27,4.0,1,1,4.0,56
524443,GRE2011,2016-06-11,144,QUAN2011,Y,ELEC,2016-06-27,144.0,1,1,144.0,18
524443,GRE2011,2016-06-11,155,VERB2011,Y,ELEC,2016-06-27,155.0,1,1,155.0,67
524472,GRE2011,2018-03-13,4.0,ANALYTWRIT,Y,ELEC,2018-12-20,4.0,1,1,4.0,60
524472,GRE2011,2018-03-13,147,QUAN2011,Y,ELEC,2018-12-20,147.0,1,1,147.0,27
524472,GRE2011,2018-03-13,147,VERB2011,Y,ELEC,2018-12-20,147.0,1,1,147.0,35
524473,GRE2011,2018-02-19,2.5,ANALYTWRIT,Y,ELEC,2018-03-02,2.5,1,1,2.5,8
524473,GRE2011,2018-02-19,134,QUAN2011,Y,ELEC,2018-03-02,134.0,1,1,134.0,1
524473,GRE2011,2018-02-19,142,VERB2011,Y,ELEC,2018-03-02,142.0,1,1,142.0,17
524516,GRE2011,2016-12-03,4.5,ANALYTWRIT,Y,ELEC,2016-12-21,4.5,1,1,4.5,82
524516,GRE2011,2016-12-03,145,QUAN2011,Y,ELEC,2016-12-21,145.0,1,1,145.0,20
524516,GRE2011,2016-12-03,152,VERB2011,Y,ELEC,2016-12-21,152.0,1,1,152.0,55
524569,GRE2011,2016-10-07,2.5,ANALYTWRIT,Y,ELEC,2016-10-24,2.5,1,1,2.5,7
524569,GRE2011,2016-10-07,144,QUAN2011,Y,ELEC,2016-10-24,144.0,1,1,144.0,17
